,City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng,continent
190,Venice,78.82,45.69,72.67,11.48,70.34,21.48,45.440847399999996,12.315515099999999,Europe
191,Seoul,82.43,54.3,75.0,85.59,60.28,21.35,37.566534999999995,126.9779692,Asia
192,Stavanger,79.41,46.59,62.48,29.13,76.5,20.83,58.969975600000005,5.7331074,Europe
193,Singapore,81.07,33.14,58.82,18.48,42.65,19.96,1.352083,103.819836,Asia
194,Trondheim,80.36,51.22,81.67,14.53,82.67,19.8,63.4305149,10.3950528,Europe
195,Manama,77.56,40.26,72.22,17.06,63.85,19.79,26.2235305,50.5875935,Asia
196,Dubai,98.44,69.64,67.78,30.81,85.16,19.36,25.204849300000003,55.2707828,Asia
197,Luxembourg,85.85,76.44,59.72,57.17,81.41,18.75,49.815273,6.1295829999999984,Europe
198,Ahmedabad,76.16,33.69,61.67,68.21,57.01,18.18,23.022505,72.57136209999999,Asia
199,Braga,75.07,30.21,69.71,14.54,69.91,18.12,41.5454486,-8.426506999999999,Europe
200,Davao,69.29,17.63,69.0,77.98,30.66,17.71,7.190708,125.45534099999999,Asia
201,Indore,76.38,35.79,31.34,59.42,48.53,16.93,22.7195687,75.8577258,Asia
202,Kochi,74.27,28.98,70.23,71.78,45.13,16.93,9.9312328,76.26730409999998,Asia
203,Bergen,80.74,51.24,84.95,18.4,83.76,16.67,40.926276200000004,-74.07701,Europe
204,Shanghai,75.69,26.74,78.7,61.74,31.66,16.51,31.230415999999998,121.473701,Asia
205,Hong Kong,86.37,50.07,67.59,14.88,59.5,16.31,22.319303899999998,114.1693611,Asia
206,Taipei,77.42,38.19,88.89,87.62,52.35,15.71,25.0329694,121.56541770000001,Asia
207,Zurich,85.89,79.58,78.33,18.04,97.91,15.35,47.376886600000006,8.541694,Europe
208,Aachen,81.64,60.55,73.25,11.69,90.52,15.34,50.7753455,6.083886800000001,Europe
209,Dresden,84.75,82.6,78.29,16.89,90.21,15.34,51.0504088,13.737262099999999,Europe
210,Munich,86.0,63.28,88.43,43.08,90.08,15.34,48.1351253,11.581980499999998,Europe
211,Dusseldorf,83.45,72.52,75.98,8.61,88.02,15.34,51.2277411,6.773455599999999,Error
212,Tokyo,80.0,47.57,71.53,30.54,69.29,13.91,35.6761919,139.65031059999998,Asia
213,Abu Dhabi,86.4,68.03,48.02,53.42,80.8,10.86,24.453884,54.3773438,Asia
214,Marbella,81.96,60.14,83.64,32.27,75.24,9.11,36.510071,-4.8824474,Europe
215,Malaga,84.3,45.77,69.17,30.55,67.9,9.11,36.7211784,-4.4217198999999985,America
